ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
A-LB1,Bucket James River for 544/624  5yard,*,*,*,div 11,Photos/Library/A-LB1-P.jpg,Photos/Library/A-LB1-T.jpg,N/A
OE75,Clean Burn Furnace,12/21/2015,CB 2500,*,div 11,Photos/Library/OE75-P.jpg,Photos/Library/OE75-T.jpg,N/A
OE77,Pac Roller,*,*,*,div 11,Photos/Library/OE77-P.jpg,Photos/Library/OE77-T.jpg,N/A
TRL215,Trailer Trinity EagleBridge (2012 BILL),4/2/2008,1T9SC4222CB656306,381714 TL,div 16,Photos/Library/TRL215-P.jpg,Photos/Library/TRL215-T.jpg,N/A
TRL235,Trailer Kari Kool (1973),12/21/2015,CTK5325,*,div 11,Photos/Library/TRL235-P.jpg,Photos/Library/TRL235-T.jpg,N/A
TRL236,Trailer Utility (1999),12/21/2015,17XFP1215X1997291,679167TL,div 11,Photos/Library/TRL236-P.jpg,Photos/Library/TRL236-T.jpg,N/A
TRL237,Trailer Stoughton (1993),12/21/2015,1DW1A4821PS802712,*,div 11,Photos/Library/TRL237-P.jpg,Photos/Library/TRL237-T.jpg,N/A
TRL249,Trailer Trinity,1/10/2020,1T9SC4522LB656141,27562TM,div 11,Photos/Library/TRL249-P.jpg,Photos/Library/TRL249-T.jpg,N/A
T33,Dump truck 4300 International (2007),3/10/2006,1HTMMAAN67H365948,44763TW,div 16,Photos/Library/T33-P.jpg,Photos/Library/T33-T.jpg,N/A
T46,Pickup Truck Ford F-150 (2016 Ray),3/18/2017,1FTEW1EF0GFC56525,VTL5973,div 11,Photos/Library/T46-P.jpg,Photos/Library/T46-T.jpg,N/A
T106,Blower Truck Exp Volvo HD (2006),12/21/2015,4V5K99GH16N417394,33305TB,div 17,Photos/Library/T106-P.jpg,Photos/Library/T106-T.jpg,N/A
T106B,Blower Truck Motor for T106,*,*,*,div 17,Photos/Library/T106B-P.jpg,Photos/Library/T106B-T.jpg,N/A
T225,RoadTractor International (2005) (Red - Bill),2/20/2019,2HSCESBR25C015516,27405YA,div 11,Photos/Library/T225-P.jpg,Photos/Library/T225-T.jpg,N/A
T249,RoadTractor International (1999),12/21/2015,2HSFRAEROXC076843,N/A,div 11,Photos/Library/T249-P.jpg,Photos/Library/T249-T.jpg,N/A
T251,Truck Chevrolet (1995),12/21/2015,1GBJC34K7SE250774,*,div 11,Photos/Library/T251-P.jpg,Photos/Library/T251-T.jpg,N/A
T253,Truck GMC Sierra 2500 (2002),12/21/2015,1GTHC24122E157673,VKV2785,div 11,Photos/Library/T253-P.jpg,Photos/Library/T253-T.jpg,N/A
T255,RoadTractor Military 6x6,12/21/2015,*,*,div 11,Photos/Library/T255-P.jpg,Photos/Library/T255-T.jpg,N/A
T347,International 9900i (2014 GOODMANS),1/4/2015,3HSDMAPR9FN717763,YA50-381,div 11,Photos/Library/T347-P.jpg,Photos/Library/T347-T.jpg,N/A
OE62,SkidSteerJohnDeereModel329D,???,1TK0329DLKA0188003,N/A,div 8,Photos/Library/OE62-P.jpg,Photos/Library/OE62-T.jpg,N/A
OE71,Mini Excavator Bobcat,*,*,N/A,div 8,Photos/Library/OE71-P.jpg,Photos/Library/OE71-T.jpg,N/A
OE380,Homemade Mobile Pressure Washer,12/20/2013,VA284575TR,*,div 8,Photos/Library/OE380-P.jpg,Photos/Library/OE380-T.jpg,N/A
OE383,PowerWasher 24hpModel TNT 8035 E/G,11/1/2004,T904 90383,N/A,div 8,Photos/Library/OE383-P.jpg,Photos/Library/OE383-T.jpg,N/A
TRL202,Trailer Utility HURST 1999 (2 axles) ,8/2/2001,1H9T31626X1057142,635-149 TR,div 8,Photos/Library/TRL202-P.jpg,Photos/Library/TRL202-T.jpg,N/A
TRL211,Trailer Holmes utility/welding (1 axle),*,5LVBV08146A012201,3565ZC,div 8,Photos/Library/TRL211-P.jpg,Photos/Library/TRL211-T.jpg,N/A
